Date,Visitor,AG,Home,HG
2018-11-23,Edmonton Oilers,1,Anaheim Ducks,2
2018-11-23,Colorado Avalanche,5,Arizona Coyotes,1
2018-11-23,Pittsburgh Penguins,1,Boston Bruins,2
2018-11-23,Montreal Canadiens,2,Buffalo Sabres,3
2018-11-23,Florida Panthers,1,Carolina Hurricanes,4
2018-11-23,Toronto Maple Leafs,2,Columbus Blue Jackets,4
2018-11-23,Ottawa Senators,4,Dallas Stars,6
2018-11-23,Winnipeg Jets,2,Minnesota Wild,4
2018-11-23,New York Islanders,4,New Jersey Devils,3
2018-11-23,New York Rangers,0,Philadelphia Flyers,4
2018-11-23,Vancouver Canucks,0,San Jose Sharks,4
2018-11-23,Nashville Predators,2,St. Louis Blues,6
2018-11-23,Chicago Blackhawks,2,Tampa Bay Lightning,4
2018-11-23,Calgary Flames,0,Vegas Golden Knights,2
2018-11-23,Detroit Red Wings,1,Washington Capitals,3
2018-11-24,Dallas Stars,2,Colorado Avalanche,3
2018-11-24,Buffalo Sabres,3,Detroit Red Wings,2
2018-11-24,Chicago Blackhawks,5,Florida Panthers,4
2018-11-24,Vancouver Canucks,4,Los Angeles Kings,2
2018-11-24,Boston Bruins,3,Montreal Canadiens,2
2018-11-24,Carolina Hurricanes,1,New York Islanders,4
2018-11-24,Washington Capitals,5,New York Rangers,3
2018-11-24,Columbus Blue Jackets,2,Pittsburgh Penguins,4
2018-11-24,Winnipeg Jets,8,St. Louis Blues,4
2018-11-24,Philadelphia Flyers,0,Toronto Maple Leafs,6
2018-11-24,San Jose Sharks,0,Vegas Golden Knights,6
2018-11-25,Calgary Flames,6,Arizona Coyotes,1
2018-11-25,Edmonton Oilers,2,Los Angeles Kings,5
2018-11-25,Anaheim Ducks,2,Nashville Predators,5
2018-11-25,New Jersey Devils,2,Tampa Bay Lightning,5
2018-11-26,Columbus Blue Jackets,7,Detroit Red Wings,5
2018-11-26,New Jersey Devils,3,Florida Panthers,4
2018-11-26,Washington Capitals,4,New York Islanders,1
2018-11-26,Ottawa Senators,2,New York Rangers,4
2018-11-26,Boston Bruins,2,Toronto Maple Leafs,4
2018-11-27,San Jose Sharks,2,Buffalo Sabres,3
2018-11-27,Vegas Golden Knights,8,Chicago Blackhawks,3
2018-11-27,Dallas Stars,0,Edmonton Oilers,1
2018-11-27,Arizona Coyotes,4,Minnesota Wild,3
2018-11-27,Carolina Hurricanes,2,Montreal Canadiens,1
2018-11-27,Colorado Avalanche,3,Nashville Predators,2
2018-11-27,Ottawa Senators,4,Philadelphia Flyers,3
2018-11-27,Anaheim Ducks,3,Tampa Bay Lightning,1
2018-11-27,Los Angeles Kings,2,Vancouver Canucks,1
2018-11-27,Pittsburgh Penguins,4,Winnipeg Jets,3
2018-11-28,Dallas Stars,4,Calgary Flames,3
2018-11-28,Pittsburgh Penguins,3,Colorado Avalanche,6
2018-11-28,St. Louis Blues,3,Detroit Red Wings,4
2018-11-28,Anaheim Ducks,3,Florida Panthers,2
2018-11-28,San Jose Sharks,3,Toronto Maple Leafs,5
2018-11-29,New York Islanders,1,Boston Bruins,2
2018-11-29,Minnesota Wild,2,Columbus Blue Jackets,4
2018-11-29,Los Angeles Kings,2,Edmonton Oilers,3
2018-11-29,Arizona Coyotes,3,Nashville Predators,0
2018-11-29,New York Rangers,0,Ottawa Senators,3
2018-11-29,Buffalo Sabres,4,Tampa Bay Lightning,5
2018-11-29,Vegas Golden Knights,4,Vancouver Canucks,3
2018-11-29,Chicago Blackhawks,5,Winnipeg Jets,6
2018-11-30,Anaheim Ducks,2,Carolina Hurricanes,1
2018-11-30,Los Angeles Kings,1,Calgary Flames,4
2018-11-30,St. Louis Blues,3,Colorado Avalanche,2
2018-11-30,Buffalo Sabres,2,Florida Panthers,3
2018-11-30,New Jersey Devils,3,Washington Capitals,6
2018-12-01,St. Louis Blues,1,Arizona Coyotes,6
2018-12-01,Detroit Red Wings,4,Boston Bruins,2
2018-12-01,Vegas Golden Knights,1,Edmonton Oilers,2
2018-12-01,Tampa Bay Lightning,5,Florida Panthers,4
2018-12-01,Toronto Maple Leafs,5,Minnesota Wild,3
2018-12-01,New York Rangers,2,Montreal Canadiens,5
2018-12-01,Winnipeg Jets,4,New Jersey Devils,3
2018-12-01,Chicago Blackhawks,2,Nashville Predators,5
2018-12-01,Columbus Blue Jackets,2,New York Islanders,3
2018-12-01,San Jose Sharks,2,Ottawa Senators,6
2018-12-01,Philadelphia Flyers,4,Pittsburgh Penguins,2
2018-12-01,Dallas Stars,2,Vancouver Canucks,1
2018-12-02,Calgary Flames,3,Chicago Blackhawks,2
2018-12-02,Colorado Avalanche,2,Detroit Red Wings,0
2018-12-02,Carolina Hurricanes,0,Los Angeles Kings,2
2018-12-02,San Jose Sharks,3,Montreal Canadiens,1
2018-12-02,Winnipeg Jets,4,New York Rangers,3
2018-12-02,Anaheim Ducks,6,Washington Capitals,5
2018-12-03,Edmonton Oilers,1,Dallas Stars,4
2018-12-03,Tampa Bay Lightning,5,New Jersey Devils,1
2018-12-03,Buffalo Sabres,1,Nashville Predators,2
2018-12-04,Toronto Maple Leafs,4,Buffalo Sabres,3
2018-12-04,Calgary Flames,9,Columbus Blue Jackets,6
2018-12-04,Tampa Bay Lightning,6,Detroit Red Wings,5
2018-12-04,Boston Bruins,0,Florida Panthers,5
